date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:10:16	91283/91283	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2002:10:16%20GMT	https://portotheme.com/html/porto_ecommerce/demo23.html	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/demo23.html	(from )
09:10:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Mar%202024%2002:10:18%20GMT	https://portotheme.com/robots.txt		(from )
09:10:19	789/789	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Sep%202021%2011:53:42%20GMT	https://portotheme.com/html/porto_ecommerce/assets/images/icons/favicon.png	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/assets/images/icons/favicon.png	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:19	12299/12299	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Aug%202021%2004:51:24%20GMT	https://portotheme.com/html/porto_ecommerce/assets/js/webfont.js	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/assets/js/webfont.js	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:19	140890/140890	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Sep%202021%2005:22:02%20GMT	https://portotheme.com/html/porto_ecommerce/assets/css/bootstrap.min.css	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/assets/css/bootstrap.min.css	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:19	255802/255802	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Sep%202021%2005:31:16%20GMT	https://portotheme.com/html/porto_ecommerce/assets/css/demo23.min.css	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/assets/css/demo23.min.css	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:19	55111/55111	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Aug%202021%2004:51:30%20GMT	https://portotheme.com/html/porto_ecommerce/assets/vendor/fontawesome-free/css/all.min.css	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/assets/vendor/fontawesome-free/css/all.min.css	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:20	109123/109123	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2002:10:20%20GMT	https://portotheme.com/html/porto_ecommerce/demo23-shop.html	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/demo23-shop.html	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:20	979/979	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Sep%202021%2011:53:42%20GMT	https://portotheme.com/html/porto_ecommerce/assets/images/demoes/demo23/logo.png	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/assets/images/demoes/demo23/logo.png	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:21	32398/32398	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2002:10:20%20GMT	https://portotheme.com/html/porto_ecommerce/login.html	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/login.html	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:22	50332/50332	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2002:10:21%20GMT	https://portotheme.com/html/porto_ecommerce/wishlist.html	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/wishlist.html	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:22	111053/111053	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2002:10:22%20GMT	https://portotheme.com/html/porto_ecommerce/demo23-product.html	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/demo23-product.html	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:22	3694/3694	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Aug%202021%2004:48:56%20GMT	https://portotheme.com/html/porto_ecommerce/assets/images/products/product-1.jpg	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/assets/images/products/product-1.jpg	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
